n,tsne_baseline,tsne_scalar,tsne_vec,tsne_vec3,tsne_no_vars
2,99503,74263,116337,107817,69942
3,320802,209794,264683,249215,184540
4,1146730,742008,544863,497071,372243
5,4880020,2925860,1708250,1390830,1182290
6,21232000,12616300,6805160,4217770,3915630
7,123469000,68523800,44229400,14477800,14095300
8,684288000,366667000,262938000,54617800,54745700
9,3371730000,1758180000,1369870000,230611000,212396000
10,14767600000,8021420000,6324870000,1199220000,873632000
11,62988900000,33842100000,27272200000,5874920000,3568900000
12,260354000000,138161000000,111271000000,23733500000,14414000000
13,1039690000000,572502000000,466155000000,94381800000,57855400000
